平均紫外線指數（上午7時至下午6時） - 京士柏
Mean UV Indices(7 a.m. to 6 p.m.) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,2,C
2024,1,2,1,C
2024,1,3,2,C
2024,1,4,2,C
2024,1,5,2,C
2024,1,6,2,C
2024,1,7,2,C
2024,1,8,2,C
2024,1,9,2,C
2024,1,10,2,C
2024,1,11,2,C
2024,1,12,2,C
2024,1,13,2,C
2024,1,14,2,C
2024,1,15,2,C
2024,1,16,2,C
2024,1,17,2,C
2024,1,18,3,C
2024,1,19,3,C
2024,1,20,3,C
2024,1,21,2,C
2024,1,22,1,C
2024,1,23,1,C
2024,1,24,2,C
2024,1,25,2,C
2024,1,26,2,C
2024,1,27,1,C
2024,1,28,1,C
2024,1,29,1,C
2024,1,30,2,C
2024,1,31,1,C
2024,2,1,2,C
2024,2,2,3,C
2024,2,3,2,C
2024,2,4,1,C
2024,2,5,1,C
2024,2,6,2,C
2024,2,7, 0.5,C
2024,2,8, 0.5,C
2024,2,9,1,C
2024,2,10,2,C
2024,2,11,3,C
2024,2,12,3,C
2024,2,13,3,C
2024,2,14,3,C
2024,2,15,3,C
2024,2,16,3,C
2024,2,17,2,C
2024,2,18,2,C
2024,2,19,1,C
2024,2,20,3,C
2024,2,21,4,C
2024,2,22,2,C
2024,2,23, 0.9,C
2024,2,24,2,C
2024,2,25,2,C
2024,2,26,2,C
2024,2,27,2,C
2024,2,28, 0.9,C
2024,2,29,1,C
2024,3,1, 0.6,C
2024,3,2,1,C
2024,3,3,2,C
2024,3,4,1,C
2024,3,5,2,C
2024,3,6,2,C
2024,3,7,1,C
2024,3,8,3,C
2024,3,9, 0.7,C
2024,3,10, 0.5,C
2024,3,11, 0.7,C
2024,3,12,4,C
2024,3,13,2,C
2024,3,14,3,C
2024,3,15,2,C
2024,3,16,2,C
2024,3,17,3,C
2024,3,18, 0.9,C
2024,3,19,3,C
2024,3,20,4,C
2024,3,21,4,C
2024,3,22,4,C
2024,3,23,3,C
2024,3,24,5,C
2024,3,25,3,C
2024,3,26,3,C
2024,3,27,3,C
2024,3,28,3,C
2024,3,29,3,C
2024,3,30,3,C
2024,3,31, 0.9,C
2024,4,1,1,C
2024,4,2,1,C
2024,4,3,2,C
2024,4,4,1,C
2024,4,5,2,C
2024,4,6, 0.3,C
2024,4,7,2,C
2024,4,8,2,C
2024,4,9, 1.0,C
2024,4,10,3,C
2024,4,11,3,C
2024,4,12,4,C
2024,4,13,4,C
2024,4,14,3,C
2024,4,15,3,C
2024,4,16,4,C
2024,4,17,3,C
2024,4,18,1,C
2024,4,19,1,C
2024,4,20,2,C
2024,4,21, 0.4,C
2024,4,22, 1.0,C
2024,4,23, 0.5,C
2024,4,24,1,C
2024,4,25,2,C
2024,4,26, 0.6,C
2024,4,27,1,C
2024,4,28, 0.8,C
2024,4,29,1,C
2024,4,30,2,C
2024,5,1, 0.5,C
2024,5,2, 1.0,C
2024,5,3, 1.0,C
2024,5,4, 0.9,C
2024,5,5,3,C
2024,5,6,5,C
2024,5,7,3,C
2024,5,8,3,C
2024,5,9,3,C
2024,5,10,2,C
2024,5,11,4,C
2024,5,12,3,C
2024,5,13,3,C
2024,5,14,5,C
2024,5,15,5,C
2024,5,16,5,C
2024,5,17,4,C
2024,5,18,3,C
2024,5,19,1,C
2024,5,20, 0.6,C
2024,5,21, 0.7,C
2024,5,22, 0.9,C
2024,5,23,2,C
2024,5,24, 0.7,C
2024,5,25,3,C
2024,5,26,3,C
2024,5,27,2,C
2024,5,28,3,C
2024,5,29,4,C
2024,5,30,2,C
2024,5,31,2,C
2024,6,1,2,C
2024,6,2,5,C
2024,6,3, 0.7,C
2024,6,4,2,C
2024,6,5,2,C
2024,6,6,3,C
2024,6,7,1,C
2024,6,8,3,C
2024,6,9,1,C
2024,6,10,3,C
2024,6,11,3,C
2024,6,12,5,C
2024,6,13,3,C
2024,6,14, 0.7,C
2024,6,15, 0.6,C
2024,6,16,2,C
2024,6,17,3,C
2024,6,18,3,C
2024,6,19,4,C
2024,6,20,4,C
2024,6,21,6,C
2024,6,22,5,C
2024,6,23,6,C
2024,6,24,4,C
2024,6,25,4,C
2024,6,26,6,C
2024,6,27,6,C
2024,6,28,5,C
2024,6,29,4,C
2024,6,30,4,C
2024,7,1,5,C
2024,7,2,3,C
2024,7,3,5,C
2024,7,4,3,C
2024,7,5,4,C
2024,7,6,5,C
2024,7,7,6,C
2024,7,8,5,C
2024,7,9,5,C
2024,7,10,6,C
2024,7,11,4,C
2024,7,12,4,C
2024,7,13,5,C
2024,7,14,5,C
2024,7,15,4,C
2024,7,16,3,C
2024,7,17,5,C
2024,7,18,2,C
2024,7,19,2,C
2024,7,20,4,C
2024,7,21,3,C
2024,7,22,6,C
2024,7,23,6,C
2024,7,24,4,C
2024,7,25,4,C
2024,7,26, 0.9,C
2024,7,27, 0.4,C
2024,7,28,1,C
2024,7,29,2,C
2024,7,30,4,C
2024,7,31,2,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
